      1024,        8,     6.9671, 71.48%
      1024,       32,     9.2942, 74.22%
      1024,       64,     5.2971, 75.10%
      1024,      128,     7.5811, 72.75%
      4096,        8,    25.9898, 74.61%
      4096,       32,    34.5946, 74.32%
      4096,       64,    31.6910, 74.76%
      4096,      128,    34.9154, 74.85%
     16384,        8,   117.4851, 74.46%
     16384,       32,    54.5610, 74.30%
     16384,       64,   128.9997, 74.33%
     16384,      128,   111.9370, 74.39%
     65536,        8,   230.3194, 74.95%
     65536,       32,   323.6409, 74.69%
     65536,       64,    80.0125, 74.86%
     65536,      128,   323.9994, 74.95%
    262144,        8,   323.2833, 74.60%
    262144,       32,   791.0390, 74.69%
    262144,       64,   836.7723, 74.87%
    262144,      128,  1293.5418, 74.83%
   1048576,        8,   673.7119, 74.67%
   1048576,       32,  1872.9922, 74.70%
   1048576,       64,  2409.0575, 74.70%
   1048576,      128,  2566.6170, 74.70%
   2097152,        8,   740.7290, 74.69%
   2097152,       32,  2173.0884, 74.65%
   2097152,       64,  3260.6599, 74.72%
   2097152,      128,  3549.2013, 74.74%
